map,orbit_map,target_p,observable,xi_true,lambda,orbit_id,orbit_seed,k,i_star,series_len_m,N_k,mu_hat,sigma_hat,xi_hat,mu_star_hat,sigma_star_hat,n_S_all,S_all_min,S_all_max,segment,n_used,alpha,istar_rule
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,11,5415793937069588480,7,,29994,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,11,5415793937069588480,8,80.0,29993,374.0,1.4514174776237725,0.051809796790348486,-0.47378190639386797,1.1540247980775797,0.01934390689534355,1,80.0,80.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,11,5415793937069588480,9,165.0,29992,181.0,1.4547580334403158,0.03725307159715617,-0.16338142383032134,1.2790731317428083,0.026656147460884464,7,165.0,230.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,11,5415793937069588480,10,250.0,29991,119.0,1.4592123686291636,0.034848774887614245,-0.27286356197210493,1.2155384372000013,0.018471980872573977,63,250.0,685.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,12,2448350341582829568,1,15.0,30000,2000.0,2.7272524314804922,0.7122495773011746,0.3436684713935668,2.0755229548757814,0.48827070431430425,152,15.0,770.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,12,2448350341582829568,2,525.0,29999,57.0,1.9248005454627288,0.005910151701912628,-0.6967794790302035,1.7160993053397382,0.09336203981138676,39,525.0,775.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,12,2448350341582829568,3,,29998,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,12,2448350341582829568,4,,29997,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,12,2448350341582829568,5,,29996,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,12,2448350341582829568,6,130.0,29995,230.0,1.5220702927716019,0.04013178020016288,-0.8479639038856,0.8195768927463075,0.03365285369745743,1,130.0,130.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,12,2448350341582829568,7,,29994,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,12,2448350341582829568,8,90.0,29993,333.0,1.4544983820432722,0.049429602209631364,-0.4585173495304444,1.1566103267081367,0.02010754305171644,7,90.0,150.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,12,2448350341582829568,9,165.0,29992,181.0,1.4532817999741936,0.03498695100849682,-0.1300422090092116,1.2983962880183193,0.02680428081128258,20,165.0,290.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,12,2448350341582829568,10,270.0,29991,111.0,1.4557269075239958,0.032425344150151456,-0.15805318082621422,1.2754993110864477,0.022724074443729238,62,270.0,790.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,13,9558760967796070400,1,445.0,30000,67.0,6.539688679481586,1.5325118322477769,0.3823558966472036,3.2520144060488567,0.275450187545462,79,445.0,835.0,test,30000,0.01,min
